cat_id,pro_id,shop_id,pro_pic,status,pro_name,pro_price,pro_detail
1,1,4,"PROMESATI_1412655762.gif,PROMESATI_1412655764_BIG.gif",1,พวงหรีด 1,2500,<p>พวงหรีดดอกไม้สด<br />หมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง</p><p>- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com  เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ</p>
1,2,4,"หรีด2.jpg,",1,พวงหรีด 2,2700,<p>\r\n\tพวงหรีดดอกไม้สด<br />\r\n\tหมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง</p>\r\n<p>\r\n\t- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ\xa0\r\n
1,3,4,"PROMESATI_1412655652.gif,PROMESATI_1412655654_BIG.gif",1,พวงหรีด 3,2000,<p>พวงหรีดดอกไม้สด<br />หมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง</p><p>- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com  เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ</p>
1,4,7,"PROMESATI_1412655430.jpg,PROMESATI_1412655430_BIG.jpg,",1,พวงหรีด 4,1400,<p>\r\n\tพวงหรีดดอกไม้สด<br />\r\n\tหมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง\xa0</p>\r\n<p>\r\n\t- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ</p>\r\n
1,52,4,"PROMESATI_1412655500.jpg,PROMESATI_1412655500_BIG.jpg",1,พวงหรีด 6,1500,<p>พวงหรีดดอกไม้สด<br />หมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง</p><p>- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com  เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ</p>
1,7,7,"PROMESATI_1412655206.jpg,PROMESATI_1412655207_BIG.jpg",1,พวงหรีด 7,1000,<p>พวงหรีดดอกไม้สด<br />หมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง</p><p>- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com  เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ</p>
1,8,4,"PROMESATI_1412655940.jpg,PROMESATI_1412655941_BIG.jpg",1,พวงหรีด 8,2700,<p>พวงหรีดดอกไม้สด<br />หมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง</p><p>- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com  เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ</p>
1,9,4,"PROMESATI_1412655536.jpg,PROMESATI_1412655536_BIG.jpg",1,พวงหรีด 9,1500,<p>พวงหรีดดอกไม้สด<br />หมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง</p><p>- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com  เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ</p>
1,10,4,"PROMESATI_1412655975.jpg,PROMESATI_1412655975_BIG.jpg",1,พวงหรีด 10,3000,<p>พวงหรีดดอกไม้สด<br />หมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง</p><p>- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com  เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ</p>
1,12,4,หรีด12.jpg,1,พวงหรีด 12,3000,<p>พวงหรีดดอกไม้สด<br />หมายเหตุ - ในกรณีที่ดอกไม้หมด ทางเราจะแทนด้วยดอกไม้พันธุ์อื่น ภายในมูลค่าที่เท่าเทียมกัน - รูปแบบการจัด สีสัน อาจแตกต่างจากในรูปบ้าง</p><p>- พวงหรีดตจว.ราคาจะเริ่มที่ 1500 บาทขึ้นไป หากสถานที่จัดส่ง ไม่อยู่ ต.ในเมือง อ.เมือง ของจังหวัด กรุณาแอดไลน์ ID: @mesati.com  เพื่อเช็คสถานที่จัดส่งให้แน่นอน ว่าจัดส่งได้ตามนั้น ก่อนทำการสั่งซื้อ</p>
