si_id,si_img,si_name,si_status
135,MESATI_EX1407307729.jpg,พวงหรีด เบทาโกร,1
116,MESATI_EX1407306931.jpg,พวงหรีด มูลนิธิ miracle of life,1
127,MESATI_EX1407307341.jpg,พวงหรีด esso thailand pcl,1
134,MESATI_EX1407307592.jpg,พวงหรีด ทีมงาน Executive Recruitment CPF,1
124,MESATI_EX1407307234.jpg,พวงหรีด บริษัท เด่นศรี 39 จำกัด,1
111,MESATI_EX1407306686.jpg,พวงหรีด บมจ.ซินเน็ค(ประเทศไทย),1
125,MESATI_EX1407307264.jpg,พวงหรีด กลุ่มบริษัท โชคชัยพืชผล,1
238,MESATI_EX1412132620.jpg,บริษัท คอนเทค เทรดดิ้ง จำกัด,1
123,MESATI_EX1407307200.jpg,พวงหรีด สถานีโทรทัศน์ วอยซ์ ทีวี,1
114,MESATI_EX1407306814.jpg,พวงหรีด HP Thailand,1
112,MESATI_EX1407306726.jpg,พวงหรีดคณะกรรมการเครือข่ายผู้ปกครองระดับชั้น ม.6,1
128,MESATI_EX1407307372.jpg,พวงหรีด บริษัท เบคตัน ดิคคินสัน (ประเทศไทย) จำกัด,1
131,MESATI_EX1407307473.jpg,พวงหรีด บริษัท ฟินิกซ์ คิวซี จำกัด,1
241,MESATI_EX1412132743.jpg,บริษัท Hewlett-Packard (Thailand),1
132,MESATI_EX1407307522.jpg,พวงหรีด บริษัท โตโยต้า พาราก้อน มอเตอร์ จำกัด,1
130,MESATI_EX1407307423.jpg, พวง บริษัท อาดิดาส (ประเทศไทย) จำกัด,1
122,MESATI_EX1407307169.jpg,พวงหรีด บริษัท ยูไนเต็ด อินฟอร์เมชั่น ไฮเวย์ จำกัด(มหาชน),1
113,MESATI_EX1407306750.jpg,พวงหรีด ทีเอสแอลออโต้ คอร์ปอร์เรชั่น,1
129,MESATI_EX1407307395.jpg,พวงหรีด bangkok airways,1
121,MESATI_EX1407307143.jpg,พวงหรีด บริษัท สยามฟามาซูติคอล,1
110,MESATI_EX1407306640.jpg,พวงหรีด คุณ มิติ ติยะไพรัช ประธานสโมสรเชียงรายยูไนเต็ด,1
118,MESATI_EX1407307028.jpg,พวงหรีด พาราก้อนสตีลซัพพลาย,1
117,MESATI_EX1407306996.jpg,พวงหรีด พาราก้อนสตีลซัพพลาย,1
133,MESATI_EX1407307557.jpg,พวงหรีด บริษัท ทีพีซี สเตนเลส แอนด์ สตีล ฟาสเทนเนอร์ จำกัด,1
120,MESATI_EX1407307103.jpg,พวงหรีด ธนาคารกสิกรไทย,1
115,MESATI_EX1407306846.jpg,พวงหรีด JIB,1
97,MESATI_EX1407305955.jpg,พวงหรีด microsoft,0
86,MESATI_EX1407305481.jpg,Anantara Thailand Hotels & Resorts,1
119,MESATI_EX1407307070.jpg,พวงหรีด ไทยเมจิฟาร์มาซิวติคัล,1
109,MESATI_EX1407306611.jpg,บริษัท โตโยต้าเมืองนนท์ จำกัด,1
101,MESATI_EX1407306170.jpg,พวงหรีด บริษัท คอนเทค เทรดดิ้ง จำกัด,1
95,MESATI_EX1407305844.jpg,พวงหรีด บริษัท ไทยซูซูกิมอเตอร์ จำกัด,1
96,MESATI_EX1407305900.jpg,พวงหรีด FANUC THAI LIMITED,1
98,MESATI_EX1407306046.jpg,พวงหรีด Grand Mercure Phuket Patong,0
102,MESATI_EX1407306209.jpg,บมจ.ซิโน-ไทย เอ็นจีเนียริ่งฯ โครงการก่อสร้างสะพานต่างระดับ ถนนจรัญสนิทวงศ์ฯ,1
103,MESATI_EX1407306263.jpg,Philips Electronics(Thailand) Limited.,1
108,MESATI_EX1407306467.jpg,บริษัท ที.เอ็น.แม็คเน็ท เซ็นเตอร์ จำกัด,1
221,MESATI_EX1410160061.jpg,เอฟ วาย ไอ จำกัด,1
105,MESATI_EX1407306349.jpg,บริษัท นูแมพ จำกัด,1
92,MESATI_EX1407305680.jpeg,บริษัท โรงพิมพ์ตะวันออก จำกัด(มหาชน),1
99,MESATI_EX1407306091.jpg,บริษัท โต๊ะกลมโทรทัศน์ จำกัด,1
104,MESATI_EX1407306315.jpg,บริษัท เมอร์เซเดส-เบนซ์ (ประเทศไทย) จํากัด,0
100,MESATI_EX1407306133.jpg,บริษัท เอเจพลาสท์ จำกัด,1
139,MESATI_EX1408331709.jpg,พวงหรีด ฐิติกร ธีรพัฒนวงศ์ | mei,1
137,MESATI_EX1407468620.jpg,สมบูรณ์ หาญถิรเดช,1
138,MESATI_EX1407911649.jpg,พวงหรีด วิศิษฎ์-อรุณี ลิ้มประนะ กลุ่มบริษัทง่วนสูน,1
93,MESATI_EX1407305726.jpg,ธนาคารยูโอบี จำกัด(มหาชน) สาขาลาดพร้าว,1
91,MESATI_EX1407305634.jpg,ปกรณ์ บริมาสพร,1
239,MESATI_EX1412132660.jpg,บริษัท เมอร์เซเดส-เบนซ์ (ประเทศไทย) จำกัด,1
126,MESATI_EX1407307305.jpg,ดร.อารยัน ตระหง่าน รองกรรมการผู้จัดการใหญ่อาวุโส,1
88,MESATI_EX1407305544.jpg,"F&L CS,EXXONMOBIL LTD.",1
87,MESATI_EX1407305511.jpg,I-SR-AC TEam PTT Global Chemical PLC,1
90,MESATI_EX1407305602.jpg,พี่น้องทีมวิจัย PTT Global Chemical PLC,1
234,MESATI_EX1412132487.jpg,PTT Global Chemical PLC,1
235,MESATI_EX1412132507.jpg,PTT Global Chemical PLC,1
89,MESATI_EX1407305572.jpg,ดร.ชญาน์ - รัติยา จันทวสุ,1
148,MESATI_EX1409722703.jpg,CommDe,1
141,MESATI_EX1409204170.jpg,บริษัท เดอะ โพสท์ บางกอก จำกัด,1
151,MESATI_EX1409798099.jpg,เชียงรายเครื่องครัว,1
149,MESATI_EX1409722750.jpg,ศรินครินทร์,1
152,MESATI_EX1409889342.jpg,DHL Global,1
237,MESATI_EX1412132586.jpg,บริษัท โต๊ะกลมโทรศัศน์ จำกัด,1
156,MESATI_EX1409900216.png,กวินพัฒน์,1
157,MESATI_EX1410157454.jpg,BizCon Solutions,1
